Run,Success Rate (%),Success Count,Total Bytes
1086,30.00,12,40
1087,20.00,8,40
1088,20.00,8,40
1089,92.50,37,40
1090,95.00,38,40
1091,60.00,24,40
1092,92.50,37,40
1093,30.00,12,40
1094,35.00,14,40
1095,67.50,27,40
1096,32.50,13,40
1097,95.00,38,40
1098,32.50,13,40
1099,27.50,11,40
1100,77.50,31,40
1101,67.50,27,40
1102,62.50,25,40
1103,20.00,8,40
1104,100.00,40,40
1105,32.50,13,40
1106,80.00,32,40
1107,22.50,9,40
1108,42.50,17,40
1109,35.00,14,40
1110,90.00,36,40
1111,25.00,10,40
1112,35.00,14,40
1113,67.50,27,40
1114,52.50,21,40
1115,47.50,19,40
1116,92.50,37,40
1117,85.00,34,40
1118,47.50,19,40
1119,82.50,33,40
1120,57.50,23,40
1121,67.50,27,40
1122,97.50,39,40
1123,85.00,34,40
1124,45.00,18,40
1125,90.00,36,40
1126,90.00,36,40
1127,95.00,38,40
1128,95.00,38,40
1129,100.00,40,40
1130,90.00,36,40
1131,22.50,9,40
1132,77.50,31,40
1133,27.50,11,40
1134,77.50,31,40
1135,45.00,18,40
1136,27.50,11,40
1137,90.00,36,40
1138,57.50,23,40
1139,67.50,27,40
1140,32.50,13,40
1141,75.00,30,40
1142,47.50,19,40
1143,60.00,24,40
1144,77.50,31,40
1145,87.50,35,40
1146,90.00,36,40
1147,82.50,33,40
1148,67.50,27,40
1149,65.00,26,40
1150,92.50,37,40
1151,72.50,29,40
1152,90.00,36,40
1153,92.50,37,40
1154,35.00,14,40
1155,85.00,34,40
1156,77.50,31,40
1157,72.50,29,40
1158,37.50,15,40
1159,20.00,8,40
1160,40.00,16,40
1161,82.50,33,40
1162,7.50,3,40
1163,67.50,27,40
1164,97.50,39,40
1165,60.00,24,40
1166,67.50,27,40
1167,27.50,11,40
1168,60.00,24,40
1169,75.00,30,40
1170,97.50,39,40
1171,90.00,36,40
1172,82.50,33,40
1173,95.00,38,40
1174,30.00,12,40
1175,40.00,16,40
1176,57.50,23,40
1177,85.00,34,40
1178,90.00,36,40
1179,92.50,37,40
1180,22.50,9,40
1181,42.50,17,40
1182,52.50,21,40
1183,35.00,14,40
1184,65.00,26,40
1185,57.50,23,40
1186,85.00,34,40
1187,30.00,12,40
1188,80.00,32,40
1189,32.50,13,40
1190,75.00,30,40
1191,100.00,40,40
1192,45.00,18,40
1193,85.00,34,40
1194,47.50,19,40
1195,75.00,30,40
1196,77.50,31,40
1197,27.50,11,40
1198,45.00,18,40
1199,95.00,38,40
1200,95.00,38,40
1201,97.50,39,40
1202,92.50,37,40
1203,25.00,10,40
1204,97.50,39,40
1205,82.50,33,40
1206,82.50,33,40
1207,97.50,39,40
1208,55.00,22,40
1209,95.00,38,40
1210,100.00,40,40
1211,87.50,35,40
1212,40.00,16,40
1213,82.50,33,40
1214,22.50,9,40
1215,85.00,34,40
1216,95.00,38,40
1217,95.00,38,40
1218,45.00,18,40
1219,90.00,36,40
1220,65.00,26,40
1221,82.50,33,40
1222,87.50,35,40
1223,77.50,31,40
1224,87.50,35,40
1225,62.50,25,40
1226,72.50,29,40
1227,30.00,12,40
1228,22.50,9,40
1229,77.50,31,40
1230,67.50,27,40
1231,87.50,35,40
1232,100.00,40,40
1233,30.00,12,40
1234,55.00,22,40
1235,52.50,21,40
1236,95.00,38,40
1237,27.50,11,40
1238,75.00,30,40
1239,87.50,35,40
1240,25.00,10,40
1241,90.00,36,40
1242,75.00,30,40
1243,85.00,34,40
1244,85.00,34,40
1245,85.00,34,40
1246,77.50,31,40
1247,65.00,26,40
1248,70.00,28,40
1249,95.00,38,40
1250,22.50,9,40
1251,22.50,9,40
1252,90.00,36,40
1253,82.50,33,40
1254,25.00,10,40
1255,67.50,27,40
1256,87.50,35,40
1257,25.00,10,40
1258,100.00,40,40
1259,87.50,35,40
1260,92.50,37,40
1261,95.00,38,40
1262,30.00,12,40
1263,20.00,8,40
1264,75.00,30,40
1265,87.50,35,40
1266,90.00,36,40
1267,95.00,38,40
1268,100.00,40,40
1269,82.50,33,40
1270,100.00,40,40
1271,45.00,18,40
1272,72.50,29,40
1273,60.00,24,40
1274,67.50,27,40
1275,75.00,30,40
1276,20.00,8,40
1277,80.00,32,40
1278,62.50,25,40
1279,87.50,35,40
1280,17.50,7,40
1281,17.50,7,40
1282,52.50,21,40
1283,97.50,39,40
1284,32.50,13,40
1285,30.00,12,40
1286,100.00,40,40
1287,12.50,5,40
1288,70.00,28,40
1289,50.00,20,40
1290,70.00,28,40
1291,70.00,28,40
1292,92.50,37,40
1293,75.00,30,40
1294,32.50,13,40
1295,62.50,25,40
1296,12.50,5,40
1297,30.00,12,40
1298,75.00,30,40
1299,72.50,29,40
1300,90.00,36,40
1301,87.50,35,40
1302,67.50,27,40
1303,95.00,38,40
1304,62.50,25,40
1305,100.00,40,40
1306,97.50,39,40
1307,40.00,16,40
1308,80.00,32,40
1309,30.00,12,40
1310,87.50,35,40
1311,85.00,34,40
1312,47.50,19,40
1313,97.50,39,40
1314,50.00,20,40
1315,77.50,31,40
1316,67.50,27,40
1317,95.00,38,40
1318,95.00,38,40
1319,75.00,30,40
1320,90.00,36,40
1321,92.50,37,40
1322,85.00,34,40
1323,25.00,10,40
1324,65.00,26,40
1325,50.00,20,40
1326,25.00,10,40
1327,70.00,28,40
1328,100.00,40,40
1329,70.00,28,40
1330,62.50,25,40
1331,32.50,13,40
1332,92.50,37,40
1333,62.50,25,40
1334,90.00,36,40
1335,95.00,38,40
1336,45.00,18,40
1337,100.00,40,40
1338,42.50,17,40
1339,80.00,32,40
1340,22.50,9,40
1341,80.00,32,40
1342,92.50,37,40
1343,52.50,21,40
1344,90.00,36,40
1345,87.50,35,40
1346,52.50,21,40
1347,100.00,40,40
1348,67.50,27,40
1349,50.00,20,40
1350,70.00,28,40
1351,67.50,27,40
1352,90.00,36,40
1353,70.00,28,40
